,street_name,city_name,total_square_meters,living_square_meters,kitchen_square_meters,rooms_count,floor,wall_type,inspected,construction_year,heating,seller,water,building_condition,floors_count,price_uah
104,улица,Одесса,99.0,32.0,9.0,2.0,9,кирпич,True,2014.0,индивидуальное,от посредника,централизованное (водопровод),отличное,25,2267175
105,улица,Одесса,60.0,32.0,9.0,1.0,9,монолитно-каркасный,True,2014.0,без отопления,от представителя хозяина (без комиссионных),централизованное (водопровод),other,16,699237
106,улица,Днепропетровск,63.0,32.0,9.0,2.0,2,кирпич,True,2014.0,индивидуальное,от представителя хозяина (без комиссионных),централизованное (водопровод),хорошее,5,1264631
107,улица,Винница,63.3,38.0,27.0,2.0,3,газоблок,True,2014.0,индивидуальное,от посредника,скважина,отличное,3,1017812
108,other,Тернополь,63.0,40.0,12.0,2.0,9,кирпич,False,2014.0,централизованное,от посредника,other,other,11,783130
109,улица,Харьков,41.0,18.7,10.3,1.0,6,кирпич,True,2015,централизованное,от представителя хозяина (без комиссионных),централизованное (водопровод),хорошее,9,636132
110,улица,Киев,56.0,28.0,8.0,2.0,9,панель,True,2014.0,централизованное,от посредника,централизованное (водопровод),хорошее,16,1450382
111,улица,Винница,68.0,32.0,15.2,2.0,5,кирпич,True,2014.0,индивидуальное,от посредника,централизованное (водопровод),отличное,12,1094147
112,улица,Винница,54.0,28.0,6.0,3.0,4,кирпич,True,2014.0,централизованное,от посредника,централизованное (водопровод),нормальное,5,687023
113,улица,Винница,44.0,29.7,6.7,2.0,5,кирпич,True,2014.0,централизованное,от посредника,централизованное (водопровод),нормальное,5,661578
114,улица,Ивано-Франковск,40.5,17.6,8.5,1.0,4,панель,True,2014.0,централизованное,от представителя хозяина (без комиссионных),централизованное (водопровод),нормальное,9,432570
115,улица,Ивано-Франковск,59.0,43.0,6.0,3.0,4,кирпич,True,2014.0,централизованное,от представителя хозяина (без комиссионных),централизованное (водопровод),хорошее,5,623410
116,улица,Винница,51.22,24.0,14.53,2.0,1,кирпич,True,2014.0,индивидуальное,от застройщика,централизованное (водопровод),хорошее,4,542932
117,улица,Одесса,45.0,28.0,6.0,2.0,4,панель,True,2014.0,централизованное,от посредника,централизованное (водопровод),хорошее,5,890585
118,улица,Винница,72.69,40.12,12.0,2.0,7,кирпич,True,2014.0,индивидуальное,от собственника,централизованное (водопровод),хорошее,8,1170483
119,шоссе,Хмельницкий,31.0,18.0,6.0,1.0,4,кирпич,True,2014.0,централизованное,от представителя хозяина (без комиссионных),централизованное (водопровод),хорошее,5,419847
120,улица,Житомир,76.87,39.17,20.43,2.0,2,кирпич,True,2014.0,без отопления,от застройщика,other,other,9,960875
121,улица,Житомир,25.0,12.0,7.0,1.0,7,кирпич,True,2014.0,централизованное,от посредника,централизованное (водопровод),хорошее,9,11895673
122,улица,Житомир,43.0,29.0,6.5,2.0,2,кирпич,True,2014.0,индивидуальное,от посредника,централизованное (водопровод),хорошее,2,475827
123,улица,Винница,95.1,51.6,21.2,3.0,7,кирпич,True,2017,индивидуальное,от собственника,централизованное (водопровод),отличное,12,2035623
124,улица,Винница,68.0,32.0,16.0,2.0,7,кирпич,True,2014.0,индивидуальное,от посредника,централизованное (водопровод),хорошее,12,636132
125,улица,Одесса,78.0,32.0,7.0,4.0,1,ракушечник (ракушняк),True,1980,индивидуальное,от собственника,централизованное (водопровод),нормальное,2,610687
126,other,Винница,73.0,32.0,9.0,2.0,7,кирпич,True,2019,индивидуальное,от собственника,other,other,12,659033
127,улица,Одесса,108.5,32.0,16.0,3.0,23,монолитно-каркасный,True,2014.0,индивидуальное,от собственника,централизованное (водопровод),отличное,25,2926208
128,улица,Винница,63.0,40.0,8.0,3.0,5,панель,True,2014.0,централизованное,от посредника,централизованное (водопровод),хорошее,9,966921
129,улица,Харьков,19.0,16.0,3.0,1.0,3,кирпич,True,2014.0,индивидуальное,от застройщика,централизованное (водопровод),отличное,6,363359
130,улица,Ирпень,40.0,13.7,12.7,1.0,17,блочно-кирпичный,False,2018,индивидуальное,от собственника,other,other,17,674300
131,улица,Винница,44.0,22.0,14.0,1.0,9,кирпич,True,2014.0,без отопления,от посредника,other,нормальное,12,430025
132,улица,Винница,47.0,25.0,10.0,1.0,9,кирпич,True,2014.0,без отопления,от посредника,централизованное (водопровод),отличное,12,534351
133,улица,Винница,38.0,18.0,9.0,1.0,1,кирпич,True,2014,индивидуальное,от посредника,централизованное (водопровод),отличное,5,954198
134,улица,Винница,43.0,20.0,14.0,1.0,9,кирпич,True,2014.0,индивидуальное,от посредника,централизованное (водопровод),хорошее,12,559796
